RVCONCEPT	SEM_GRP	CUI	PT	STR
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	jail inmate
JUSTICE	DISO	C1532828	On conditional probation	on conditional probation
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	prison inmate
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	prison inmates
JUSTICE	DISO	C0425146	Has a prison record	prison record
JUSTICE	DISO	C0392751	INCARCERATED	prison sentence
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	prisoner
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	"prisoner, nos"
JUSTICE	LIVB	C0033167	"Prisoner, NOS"	prisoners
JUSTICE	DISO	C0476640	Problem related to release from prison	prob reltd/releas fm prison
JUSTICE	DISO	C0476640	Problem related to release from prison	problem related to release from prison
JUSTICE	DISO	C0476640	Problem related to release from prison	problem; release from prison
JUSTICE	DISO	C0476640	Problem related to release from prison	problems related to release from prison
JUSTICE	DISO	C0557330	Prosecution impending	prosecution impending
JUSTICE	DISO	C0476640	Problem related to release from prison	release from prison; problem
JUSTICE	DISO	C0476640	Problem related to release from prison	release; prison
JUSTICE	DISO	C0425147	Released from prison	released from prison
JUSTICE	DISO	C0557327	Released on bail	released on bail
JUSTICE	DISO	C4076475	Young offender	young offender
MST	DISO	C4273462	Adult victim of sexual abuse during military service	adult victim of sexual abuse during military service
SOCIAL_CONNECT	DISO	C2364105	Inadequate social support	actual lack of social support
SOCIAL_CONNECT_RS	DISO	C0555051	Cohabitee Left Home	cohabitee left home
SOCIAL_CONNECT	DISO	C1827529	Difficulty establishing relationships	difficulty establishing relationships
SOCIAL_CONNECT	DISO	C1827663	Difficulty maintaining relationships	difficulty maintaining relationships
SOCIAL_CONNECT_RS	DISO	C0555025	Divorce problems	divorce (& problems)
SOCIAL_CONNECT_RS	DISO	C0555025	Divorce problems	divorce problems
SOCIAL_CONNECT_RS	DISO	C0555025	Divorce problems	"divorce problems, life event"
SOCIAL_CONNECT_RS	DISO	C0581888	Divorce proceedings pending	divorce proceedings pending
SOCIAL_CONNECT_RS	DISO	C0581888	Divorce proceedings pending	"divorce proceedings pending, life event"
SOCIAL_CONNECT	DISO	C0023974	Feeling lonely	feeling lonely
SOCIAL_CONNECT	DISO	C0023974	Feeling lonely	feeling;lonely
SOCIAL_CONNECT_RS	DISO	C0555049	Husband Left Home	husband left home
SOCIAL_CONNECT	DISO	C1400446	Inadequate social skills	inadequate social skills
SOCIAL_CONNECT	DISO	C2364105	Inadequate social support	inadequate social support
SOCIAL_CONNECT	DISO	C1400446	Inadequate social skills	inadequate; social skills
SOCIAL_CONNECT	DISO	C2364078	Lack Of Family Support	lack of family support
SOCIAL_CONNECT	DISO	C2364105	Inadequate social support	lack of social support
SOCIAL_CONNECT	DISO	C1827999	Lacks emotional support	lacks emotional support
SOCIAL_CONNECT	DISO	C1827999	Lacks emotional support	lacks emotional support (finding)
SOCIAL_CONNECT	DISO	C0425198	Lives alone - help available	lives alone - help available
SOCIAL_CONNECT	DISO	C0425198	Lives alone - help available	lives alone - help available (finding)
SOCIAL_CONNECT	DISO	C0023974	Feeling lonely	loneliness
SOCIAL_CONNECT	DISO	C0023974	Feeling lonely	lonely
SOCIAL_CONNECT	DISO	C0424095	Social withdrawal	loss of interest in or fear of meeting people
SOCIAL_CONNECT_RS	ACTI	C0237868	Marital Separation	marital separation
SOCIAL_CONNECT_RS	ACTI	C0237868	Marital Separation	"marital separation, life event"
SOCIAL_CONNECT	DISO	C1827590	Minimal outside social stimulation	minimal outside social stimulation
SOCIAL_CONNECT	DISO	C0237180	Minimal shared activities	minimal shared activities
SOCIAL_CONNECT	DISO	C2711319	No contact with family	no contact with family
SOCIAL_CONNECT	PHEN	C0524322	Personal relationship breakdown	personal relationship breakdown
SOCIAL_CONNECT	DISO	C0578849	Poor family relationship	poor family relationship
SOCIAL_CONNECT	DISO	C3853123	Receives a little social support	receives a little social support
SOCIAL_CONNECT	DISO	C3853122	Receives as much social support as wanted	receives as much social support as wanted
SOCIAL_CONNECT	DISO	C3853124	Receives no social support	receives no social support
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	rejection (social)
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	"rejection, social"
SOCIAL_CONNECT	PHEN	C0524322	Personal relationship breakdown	relationship breakdown
SOCIAL_CONNECT	DISO	C1268628	At risk for loneliness	risk for loneliness
SOCIAL_CONNECT_RS	DISO	C0086972	Separated from Cohabitee	separated from cohabitee
SOCIAL_CONNECT_RS	ACTI	C0237868	Marital Separation	separation
SOCIAL_CONNECT_RS	ACTI	C0237868	Marital Separation	"separation, nos"
SOCIAL_CONNECT_RS	ACTI	C0237868	Marital Separation	separations
SOCIAL_CONNECT	DISO	C1400446	Inadequate social skills	"skills; social, inadequate"
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	social exclusion
SOCIAL_CONNECT	DISO	C0237180	Minimal shared activities	social interaction impairment minimal shared activities
SOCIAL_CONNECT	DISO	C1760167	Social outcast	social outcast
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	social rejection
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	social rejections
SOCIAL_CONNECT	DISO	C0424095	Social withdrawal	social withdrawal
SOCIAL_CONNECT	DISO	C0237827	Social exclusion	social; exclusion
SOCIAL_CONNECT_RS	DISO	C0555028	Spouse Left Home	spouse left home
SOCIAL_CONNECT_RS	DISO	C0234004	Trial Separation	trial separation
SOCIAL_CONNECT_RS	DISO	C0555050	Wife Left Home	wife left home
SOCIAL_CONNECT	DISO	C0424095	Social withdrawal	withdrawal from social contacts
SOCIAL_CONNECT	DISO	C0424095	Social withdrawal	withdrawal;social
SOCIAL_CONNECT	DISO	C0424095	Social withdrawal	withdrawn from social contacts
JOB_INSTABLE	DISO	C0581900	Chronic unemployment	chronic unemployment
JOB_INSTABLE	DISO	C0014007	Dismissal	discharged from duty
JOB_INSTABLE	DISO	C0014007	Dismissal	discharged from job
JOB_INSTABLE	DISO	C0014007	Dismissal	dismissal from employment
JOB_INSTABLE	DISO	C0014007	Dismissal	dismissed from job
JOB_INSTABLE	DISO	C0014007	Dismissal	dismissed from job (finding)
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	does not work
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	doesn't work
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	don't work
JOB_INSTABLE	DISO	C0014007	Dismissal	employment termination
JOB_INSTABLE	DISO	C0014007	Dismissal	fired
JOB_INSTABLE	DISO	C0425083	Loss of employment	job loss
JOB_INSTABLE	DISO	C0425083	Loss of employment	job losses
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	jobless
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	joblessness
JOB_INSTABLE	DISO	C0425083	Loss of employment	loss of employment
JOB_INSTABLE	DISO	C0425083	Loss of employment	loss of job
JOB_INSTABLE	DISO	C0425083	Loss of employment	lost job
JOB_INSTABLE	DISO	C0425087	Made redundant	made redundant
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	not employed
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	out of work
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	out work
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	out working
JOB_INSTABLE	DISO	C0581899	Recently unemployed	recently unemployed
JOB_INSTABLE	DISO	C0014007	Dismissal	sacked from job
JOB_INSTABLE	DISO	C0014007	Dismissal	sacked from work
JOB_INSTABLE	DISO	C0014007	Dismissal	termination of employment
JOB_INSTABLE	DISO	C0014007	Dismissal	"termination, employment"
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	u/e - unemployed
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	ue - unemployed
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	unemployed
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	unemployment
JOB_INSTABLE	DISO	C0557459	Unfair dismissal from job	unfair dismissal from job
JOB_INSTABLE	DISO	C0425095	Voluntarily redundant	voluntary resignation
JOB_INSTABLE	DISO	C0041674	NOT EMPLOYED	without employment
ACCESS2_MEANS	MEANS	RV001	Access to firearm	access to firearm
ACCESS2_MEANS	MEANS	RV001	Access to firearm	access to handgun
ACCESS2_MEANS	MEANS	RV001	Access to firearm	access to rifle
ACCESS2_MEANS	MEANS	RV001	Access to firearm	access to shotgun
ACCESS2_MEANS	MEANS	RV001	Access to firearm	access to gun
ACCESS2_MEANS	MEANS	RV001	Access to firearm	firearm at home
ACCESS2_MEANS	MEANS	RV001	Access to firearm	gun at home
ACCESS2_MEANS	MEANS	RV001	Access to poision	access to pesticides
ACCESS2_MEANS	MEANS	RV001	Access to bridge	lives near bridge
ACCESS2_MEANS	MEANS	RV001	Access to train	lives near train
ACCESS2_MEANS	MEANS	RV001	Access to train	lives near railway
